
BUYING:[X] 02:46:14 10.01.24 | CONUTER:0 time_diff =>10
BUYING:[0k] 02:46:16 10.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 02:46:19 10.01.24 | CONUTER:2 time_diff =>3
BUYING:[X] 02:46:34 10.01.24 | CONUTER:0 time_diff =>15
BUYING:[X] 02:47:02 10.01.24 | CONUTER:0 time_diff =>28
BUYING:[0k] 02:47:05 10.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 02:47:08 10.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 02:47:10 10.01.24 | CONUTER:3 time_diff =>2
BUYING:[X] 02:47:23 10.01.24 | CONUTER:0 time_diff =>13
BUYING:[0k] 02:47:25 10.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 02:47:28 10.01.24 | CONUTER:2 time_diff =>3
BUYING:[X] 02:55:08 10.01.24 | CONUTER:0 time_diff =>460
