DOWN    ,42571 ,42581,42592,42592 , 22:09:14 
DOWN    ,42573 ,42583,42591,42591 , 22:09:17 
DOWN    ,42578 ,42585,42591,42590 , 22:09:19 
UP      ,42589 ,42589,42590,42590 , 22:09:22 
UP      ,42589 ,42589,42590,42589 , 22:09:24 
UP      ,42589 ,42588,42589,42589 , 22:09:26 
DOWN    ,42584 ,42585,42588,42588 , 22:09:29 
UP      ,42589 ,42587,42588,42588 , 22:09:32 
UP      ,42589 ,42587,42588,42587 , 22:09:34 
UP      ,42589 ,42587,42587,42587 , 22:09:36 
UP      ,42589 ,42587,42587,42587 , 22:09:39 
UP      ,42589 ,42587,42587,42587 , 22:09:42 
DOWN    ,42584 ,42586,42587,42587 , 22:09:44 
DOWN    ,42585 ,42586,42587,42587 , 22:09:47 
DOWN    ,42585 ,42586,42587,42587 , 22:09:49 
UP      ,42606 ,42595,42587,42587 , 22:09:52 
UP      ,42599 ,42592,42587,42587 , 22:09:54 
UP      ,42612 ,42598,42587,42587 , 22:09:57 
UP      ,42612 ,42598,42587,42587 , 22:09:59 
UP      ,42608 ,42597,42588,42587 , 22:10:02 
UP      ,42588 ,42587,42587,42587 , 22:10:04 
DOWN    ,42578 ,42582,42587,42587 , 22:10:07 
DOWN    ,42577 ,42582,42587,42587 , 22:10:09 
DOWN    ,42577 ,42581,42587,42586 , 22:10:12 
DOWN    ,42577 ,42581,42586,42586 , 22:10:14 
DOWN    ,42568 ,42578,42586,42586 , 22:10:18 
DOWN    ,42568 ,42577,42586,42585 , 22:10:20 
DOWN    ,42568 ,42576,42585,42585 , 22:10:23 
DOWN    ,42577 ,42582,42585,42585 , 22:10:25 
DOWN    ,42570 ,42577,42585,42585 , 22:10:28 
DOWN    ,42570 ,42577,42585,42584 , 22:10:30 
DOWN    ,42571 ,42578,42585,42584 , 22:10:33 
DOWN    ,42571 ,42578,42584,42584 , 22:10:35 
DOWN    ,42575 ,42579,42584,42584 , 22:10:38 
DOWN    ,42570 ,42577,42584,42584 , 22:10:40 
DOWN    ,42558 ,42572,42584,42583 , 22:10:43 
DOWN    ,42558 ,42571,42583,42583 , 22:10:45 
DOWN    ,42554 ,42570,42583,42582 , 22:10:48 
DOWN    ,42554 ,42570,42582,42582 , 22:10:50 
DOWN    ,42552 ,42569,42582,42581 , 22:10:53 
DOWN    ,42536 ,42561,42581,42581 , 22:10:55 
DOWN    ,42526 ,42557,42581,42580 , 22:10:58 
DOWN    ,42523 ,42554,42580,42580 , 22:11:00 
DOWN    ,42523 ,42554,42579,42579 , 22:11:03 
DOWN    ,42541 ,42562,42579,42578 , 22:11:05 
DOWN    ,42551 ,42566,42579,42578 , 22:11:07 
DOWN    ,42556 ,42568,42578,42578 , 22:11:10 
DOWN    ,42556 ,42568,42578,42578 , 22:11:12 
DOWN    ,42547 ,42563,42578,42578 , 22:11:15 
DOWN    ,42547 ,42563,42578,42578 , 22:11:17 
DOWN    ,42550 ,42566,42578,42578 , 22:11:20 
DOWN    ,42561 ,42571,42578,42577 , 22:11:22 
DOWN    ,42561 ,42571,42577,42577 , 22:11:25 
UP      ,42579 ,42578,42577,42577 , 22:11:27 
UP      ,42585 ,42581,42577,42577 , 22:11:30 
UP      ,42585 ,42580,42576,42576 , 22:11:32 
UP      ,42591 ,42583,42576,42576 , 22:11:34 
UP      ,42599 ,42585,42576,42576 , 22:11:37 
UP      ,42599 ,42586,42576,42576 , 22:11:39 
UP      ,42594 ,42583,42576,42576 , 22:11:42 
UP      ,42594 ,42583,42576,42576 , 22:11:45 
UP      ,42607 ,42589,42576,42576 , 22:11:47 
UP      ,42604 ,42588,42576,42576 , 22:11:49 
UP      ,42604 ,42588,42576,42576 , 22:11:52 
UP      ,42610 ,42591,42576,42576 , 22:11:54 
