42680.009,42677.53,42714.085,42715.224,42729.447,03:00:02
42681.558,42678.12,42713.941,42715.036,42729.377,03:00:05
42676.889,42674.571,42713.744,42714.836,42729.298,03:00:07
42679.99,42682.243,42713.577,42714.645,42729.223,03:00:10
42685.45,42688.298,42713.465,42714.47,42729.141,03:00:12
42691.09,42694.231,42713.387,42714.308,42729.063,03:00:15
42696.64,42699.802,42713.353,42714.161,42728.992,03:00:17
42697.99,42700.341,42713.322,42714.018,42728.923,03:00:20
42699.99,42703.647,42713.288,42713.88,42728.857,03:00:23
42701.09,42704.308,42713.259,42713.745,42728.782,03:00:25
42705.99,42708.179,42713.279,42713.622,42728.715,03:00:28
42708.26,42711.513,42713.322,42713.505,42728.65,03:00:30
42709.993,42712.61,42713.367,42713.392,42728.587,03:00:33
42717.041,42717.572,42713.457,42713.296,42728.529,03:00:35
42717.041,42718.605,42713.548,42713.219,42728.471,03:00:38
42709.999,42706.81,42713.548,42713.124,42728.401,03:00:40
42709.999,42706.567,42713.468,42713.029,42728.331,03:00:43
42704.008,42701.643,42713.326,42712.919,42728.26,03:00:45
42704.005,42703.605,42713.055,42712.809,42728.189,03:00:48
42704.0,42708.121,42712.784,42712.699,42728.12,03:00:51
42710.01,42713.057,42712.545,42712.604,42728.058,03:00:53
42710.011,42712.781,42712.305,42712.509,42728.011,03:00:56
42717.99,42718.732,42712.145,42712.449,42727.976,03:00:58
42717.99,42721.213,42711.985,42712.388,42727.941,03:01:01
42717.99,42718.601,42711.825,42712.328,42727.906,03:01:03
42717.994,42717.831,42711.745,42712.267,42727.873,03:01:06
42717.995,42717.187,42711.664,42712.207,42727.841,03:01:08
42714.577,42711.829,42711.51,42712.123,42727.804,03:01:11
42714.574,42713.93,42711.356,42712.04,42727.767,03:01:13
42714.571,42715.211,42711.202,42711.956,42727.728,03:01:16
42714.572,42713.464,42711.048,42711.872,42727.684,03:01:18
42709.692,42711.501,42710.845,42711.777,42727.645,03:01:21
42709.692,42712.028,42710.642,42711.675,42727.606,03:01:24
42717.433,42716.281,42710.516,42711.594,42727.576,03:01:26
42717.991,42719.255,42710.396,42711.472,42727.547,03:01:29
42717.991,42719.901,42710.276,42711.351,42727.512,03:01:31
42731.09,42734.855,42710.287,42711.283,42727.494,03:01:34
42731.09,03:01:34
42733.98,42738.318,42710.327,42711.23,42727.479,03:01:36
42733.98,03:01:36,0.007%
