51416.008,51416.007,51357.685,51369.425,51335.668,51477.764,22:28:34
51416.007,51416.007,51357.788,51369.43,51335.737,51476.946,22:28:38
51403.776,51416.007,51357.87,51369.429,51335.801,51476.118,22:28:41
51403.778,51416.007,51357.953,51369.433,51335.866,51475.29,22:28:43
51403.774,51416.007,51358.035,51369.441,51335.929,51474.462,22:28:46
51403.773,51416.007,51358.118,51369.45,51335.991,51473.634,22:28:48
51403.773,51416.007,51358.2,51369.46,51336.054,51473.662,22:28:51
51403.774,51409.89,51358.283,51369.47,51336.116,51473.691,22:28:53
51403.78,51409.89,51358.365,51369.48,51336.177,51472.862,22:28:56
51403.779,51409.89,51358.451,51369.494,51336.239,51472.034,22:28:58
51403.779,51409.89,51358.536,51369.508,51336.3,51472.073,22:29:01
51403.778,51409.89,51358.621,51369.522,51336.362,51472.111,22:29:03
51403.778,51409.89,51358.706,51369.537,51336.424,51472.154,22:29:06
51403.776,51409.89,51358.791,51369.551,51336.485,51473.053,22:29:08
51403.777,51409.89,51358.876,51369.565,51336.547,51473.953,22:29:11
51403.776,51409.89,51358.962,51369.585,51336.609,51474.852,22:29:14
51402.98,51409.89,51359.045,51369.61,51336.67,51474.894,22:29:16
51402.329,51409.89,51359.128,51369.634,51336.731,51474.936,22:29:19
51402.329,51409.89,51359.211,51369.661,51336.789,51474.121,22:29:21
51402.329,51409.89,51359.295,51369.688,51336.847,51473.307,22:29:24
51402.329,51409.89,51359.378,51369.715,51336.905,51472.484,22:29:26
51402.329,51409.89,51359.461,51369.745,51336.962,51472.517,22:29:29
51400.009,51409.89,51359.52,51369.772,51337.019,51472.549,22:29:31
51400.009,51409.89,51359.578,51369.799,51337.076,51472.58,22:29:34
51398.68,51409.89,51359.634,51369.826,51337.133,51472.616,22:29:37
51392.18,51409.89,51359.679,51369.848,51337.187,51472.645,22:29:39
51392.18,51409.89,51359.725,51369.871,51337.241,51471.819,22:29:42
51388.009,51409.89,51359.763,51369.889,51337.293,51471.846,22:29:44
51388.009,51409.89,51359.801,51369.908,51337.346,51471.872,22:29:46
51388.009,51409.89,51359.84,51369.926,51337.398,51471.043,22:29:49
51388.009,51409.89,51359.878,51369.945,51337.447,51470.213,22:29:52
51388.009,51409.89,51359.916,51369.964,51337.496,51469.384,22:29:54
51386.889,51409.89,51359.953,51369.981,51337.544,51468.553,22:29:57
51386.889,51409.89,51359.989,51369.998,51337.598,51467.723,22:29:59
51386.809,51409.89,51360.026,51370.016,51337.652,51466.892,22:30:02
51386.808,51409.89,51360.062,51370.033,51337.706,51466.062,22:30:04
51381.11,51409.89,51360.089,51370.045,51337.76,51465.223,22:30:07
51381.109,51409.89,51360.116,51370.057,51337.815,51464.383,22:30:10
51381.108,51409.89,51360.142,51370.069,51337.87,51463.543,22:30:12
51381.109,51398.558,51360.161,51370.08,51337.926,51462.696,22:30:15
51386.0,51398.558,51360.187,51370.08,51337.983,51462.711,22:30:17
51387.991,51398.558,51360.217,51370.077,51338.041,51462.727,22:30:20
51387.991,51398.558,51360.247,51370.074,51338.103,51462.743,22:30:22
51387.991,51398.558,51360.277,51370.071,51338.164,51462.758,22:30:25
51393.991,51398.558,51360.317,51370.064,51338.228,51462.779,22:30:27
51393.992,51398.558,51360.357,51370.057,51338.293,51462.8,22:30:30
51393.99,51398.558,51360.401,51370.05,51338.357,51462.821,22:30:32
51393.99,51398.558,51360.444,51370.043,51338.422,51462.842,22:30:35
51393.99,51398.558,51360.493,51370.045,51338.486,51463.719,22:30:37
51397.07,51398.558,51360.557,51370.05,51338.552,51464.599,22:30:40
51397.071,51398.558,51360.621,51370.055,51338.617,51464.623,22:30:42
51397.071,51398.558,51360.695,51370.06,51338.683,51464.646,22:30:45
51397.071,51398.558,51360.769,51370.071,51338.748,51464.67,22:30:48
51397.076,51398.558,51360.843,51370.082,51338.814,51464.693,22:30:50
51397.079,51398.558,51360.917,51370.093,51338.879,51464.717,22:30:53
51390.008,51398.558,51360.979,51370.097,51338.942,51463.878,22:30:55
51390.003,51398.558,51361.041,51370.091,51339.005,51463.039,22:30:58
51390.003,51398.558,51361.103,51370.085,51339.068,51462.194,22:31:01
51390.0,51398.558,51361.166,51370.079,51339.131,51462.206,22:31:03
51390.003,51398.558,51361.228,51370.073,51339.194,51461.361,22:31:06
51390.002,51398.558,51361.29,51370.067,51339.257,51461.373,22:31:08
51390.002,51398.558,51361.352,51370.073,51339.32,51460.529,22:31:11
51390.003,51398.558,51361.414,51370.086,51339.383,51459.684,22:31:13
51390.002,51398.558,51361.477,51370.1,51339.446,51459.696,22:31:16
51390.002,51398.558,51361.539,51370.113,51339.509,51459.707,22:31:19
51390.002,51398.558,51361.601,51370.126,51339.572,51458.859,22:31:21
51390.005,51398.558,51361.663,51370.14,51339.635,51458.01,22:31:23
51386.01,51398.558,51361.719,51370.153,51339.697,51457.15,22:31:26
51384.009,51398.558,51361.771,51370.165,51339.757,51456.289,22:31:28
51384.009,51398.558,51361.823,51370.176,51339.818,51455.427,22:31:31
51384.009,51398.558,51361.875,51370.189,51339.879,51454.566,22:31:33
51384.009,51398.558,51361.928,51370.201,51339.939,51453.703,22:31:36
51380.007,51398.558,51361.973,51370.21,51339.999,51452.838,22:31:38
51380.005,51398.558,51362.019,51370.218,51340.058,51451.971,22:31:41
51380.006,51398.558,51362.064,51370.227,51340.117,51451.104,22:31:44
51380.008,51398.007,51362.11,51370.235,51340.177,51450.234,22:31:46
51373.487,51398.007,51362.145,51370.237,51340.23,51449.359,22:31:49
